city,district,hvec,hvoc,hvgc,hvmriayn,hvventiayn,hvamyn,dutyName,dutyTel3
서울특별시,종로구,-20,38,638,Y,Y,Y,서울대학교병원,02-2072-2475
서울특별시,종로구,2,6,150,Y,Y,Y,강북삼성병원,02-2001-1000
서울특별시,종로구,10,6,91,Y,Y,Y,서울적십자병원,02-2002-8888
서울특별시,종로구,8,0,39,Y,Y,Y,세란병원,02-737-0181
서울특별시,중구,9,4,77,Y,Y,Y,국립중앙의료원,02-2260-7414
서울특별시,용산구,11,4,204,Y,Y,Y,순천향대학교부속서울병원,02-709-9117
서울특별시,성동구,15,11,332,Y,Y,Y,한양대학교병원,02-2290-8284
서울특별시,광진구,2,9,301,Y,Y,Y,건국대학교병원,02-2030-5555
서울특별시,광진구,9,4,14,Y,Y,Y,혜민병원,02-2049-9119
서울특별시,동대문구,11,8,303,Y,Y,Y,경희대학교병원,02-958-8114
서울특별시,동대문구,10,3,33,Y,Y,Y,삼육서울병원,02-2210-3566
서울특별시,동대문구,8,3,53,Y,Y,Y,서울특별시동부병원,02-920-9119
서울특별시,동대문구,1,4,65,Y,Y,Y,서울성심병원,02-966-1616
서울특별시,중랑구,7,1,50,Y,Y,Y,동부제일병원,02-490-8880
서울특별시,중랑구,4,3,21,Y,Y,Y,녹색병원,02-490-2113
서울특별시,중랑구,6,5,251,Y,Y,Y,서울특별시서울의료원,02-2276-7403
서울특별시,성북구,20,8,230,Y,Y,Y,고려대학교의과대학부속병원(안암병원,02-920-5374
서울특별시,도봉구,5,7,72,Y,Y,Y,한일병원,02-901-3119
서울특별시,노원구,7,4,183,Y,Y,Y,한국원자력의학원원자력병원,02-970-2620
서울특별시,노원구,8,6,188,Y,Y,Y,인제대학교상계백병원,02-950-1119
서울특별시,노원구,10,6,208,Y,Y,Y,노원을지대학교병원,02-970-8282
서울특별시,은평구,-6,8,201,Y,Y,Y,가톨릭대학교 은평성모병원,02-1811-7755
서울특별시,은평구,2,3,22,Y,Y,Y,청구성심병원,02-383-0129
서울특별시,서대문구,6,15,696,Y,Y,Y,연세대학교의과대학세브란스병원,02-2227-7777
서울특별시,서대문구,8,3,62,Y,Y,Y,동신병원,02-396-9161
서울특별시,양천구,7,2,60,Y,Y,Y,홍익병원,02-2600-0777
서울특별시,양천구,1,4,25,Y,Y,Y,서울특별시서남병원,02-6300-9129
서울특별시,양천구,17,2,107,Y,Y,Y,이화여자대학교의과대학부속목동병원,02-2650-5911
서울특별시,강서구,0,3,79,Y,Y,Y,이화여자대학교의과대학부속서울병원,02-6986-5119
서울특별시,강서구,7,3,37,Y,Y,Y,부민병원,02-2620-0119
서울특별시,구로구,7,3,27,Y,Y,Y,구로성심병원,02-2067-1515
서울특별시,구로구,9,8,240,Y,Y,Y,고려대학교의과대학부속구로병원,02-2626-1550
서울특별시,금천구,8,2,22,Y,Y,Y,희명병원,02-809-0122
서울특별시,영등포구,12,8,235,Y,Y,Y,가톨릭대학교 여의도성모병원,02-3779-1188
서울특별시,영등포구,1,3,36,Y,Y,Y,명지성모병원,02-829-7800
서울특별시,영등포구,6,1,17,Y,Y,Y,대림성모병원,02-829-9129
서울특별시,영등포구,14,9,159,Y,Y,Y,한림대학교강남성심병원,02-829-5119
서울특별시,영등포구,7,5,29,Y,Y,Y,성애병원,02-840-7115
서울특별시,동작구,17,5,309,Y,Y,Y,서울특별시보라매병원,02-870-2119
서울특별시,동작구,9,6,302,Y,Y,Y,중앙대학교병원,02-6299-1338
서울특별시,관악구,9,3,49,Y,Y,Y,에이치플러스양지병원,070-4665-9119
서울특별시,서초구,3,14,405,Y,Y,Y,가톨릭학원가톨릭대학교서울성모병원,02-2258-2370
서울특별시,강남구,-3,0,254,Y,Y,Y,연세대학교의과대학강남세브란스병원,02-2019-3333
서울특별시,강남구,0,26,594,Y,Y,Y,삼성서울병원,02-3410-2060
서울특별시,송파구,1,6,129,Y,Y,Y,경찰병원,02-3400-1300
서울특별시,송파구,-1,23,1201,Y,Y,Y,서울아산병원,02-3010-3333
서울특별시,강동구,9,10,206,Y,Y,Y,강동경희대학교의대병원,02-440-7000
서울특별시,강동구,9,5,192,Y,Y,Y,강동성심병원,02-2224-2358
서울특별시,강동구,1,9,339,Y,Y,Y,중앙보훈병원,02-2225-1100
부산광역시,중구,6,4,70,Y,Y,Y, 메리놀병원,051-461-2300
부산광역시,서구,14,6,158,Y,Y,Y,고신대학교복음병원,051-990-6200
부산광역시,서구,9,20,654,Y,Y,Y,부산대학교병원,051-240-7776
부산광역시,서구,-1,8,226,Y,Y,Y,동아대학교병원,051-240-5300
부산광역시,서구,1,1,10,Y,Y,Y,삼육부산병원,051-600-7750
부산광역시,동구,4,4,49,Y,Y,Y,좋은문화병원,051-630-0909
부산광역시,동구,6,6,7,Y,Y,Y, 봉생기념병원,051-664-4119
부산광역시,영도구,6,0,23,Y,Y,Y, 해동병원,051-410-6688
부산광역시,영도구,7,2,34,Y,Y,Y,영도병원,051-419-7575
부산광역시,부산진구,18,6,60,Y,Y,Y, 온종합병원,051-607-0139
부산광역시,부산진구,21,10,261,Y,Y,Y,인제대학교부산백병원,051-890-5995
부산광역시,부산진구,9,1,40,Y,Y,Y,동의병원,051-850-8777
부산광역시,부산진구,8,4,133,Y,Y,Y, 춘해병원,051-608-0119
부산광역시,동래구,5,3,58,Y,Y,Y,동래봉생병원,051-520-5600
부산광역시,동래구,15,5,82,Y,Y,Y,대동병원,051-550-9391
부산광역시,동래구,5,2,4,Y,Y,Y, 광혜병원,051-504-2119
부산광역시,남구,8,4,119,Y,Y,Y,부산성모병원,051-933-7119
부산광역시,북구,9,2,47,Y,Y,Y,구포성심병원,051-330-2090
