city,district,hvec,hvoc,hvgc,hvmriayn,hvventiayn,hvamyn,dutyName,dutyTel3
서울특별시,종로구,-12,35.0,612.0,Y,Y,Y,서울대학교병원,02-2072-2475
서울특별시,종로구,6,4.0,150.0,Y,Y,Y,강북삼성병원,02-2001-1000
서울특별시,종로구,10,5.0,94.0,Y,Y,Y,서울적십자병원,02-2002-8888
서울특별시,종로구,10,1.0,46.0,Y,Y,Y,세란병원,02-737-0181
서울특별시,중구,13,3.0,77.0,Y,Y,Y,국립중앙의료원,02-2260-7414
서울특별시,용산구,17,1.0,166.0,Y,Y,Y,순천향대학교부속서울병원,02-709-9117
서울특별시,성동구,15,9.0,315.0,Y,Y,Y,한양대학교병원,02-2290-8284
서울특별시,광진구,7,6.0,305.0,Y,Y,Y,건국대학교병원,02-2030-5555
서울특별시,광진구,9,3.0,14.0,Y,Y,Y,혜민병원,02-2049-9119
서울특별시,동대문구,10,7.0,306.0,Y,Y,Y,경희대학교병원,02-958-8114
서울특별시,동대문구,10,1.0,14.0,Y,Y,Y,삼육서울병원,02-2210-3566
서울특별시,동대문구,7,2.0,51.0,Y,Y,Y,서울특별시동부병원,02-920-9119
서울특별시,동대문구,3,2.0,63.0,Y,Y,Y,서울성심병원,02-966-1616
서울특별시,중랑구,7,2.0,51.0,Y,Y,Y,풍산의료재단동부제일병원,02-490-8880
서울특별시,중랑구,1,2.0,20.0,Y,Y,Y,녹색병원,02-490-2113
서울특별시,중랑구,9,2.0,242.0,Y,Y,Y,서울특별시서울의료원,02-2276-7403
서울특별시,성북구,23,8.0,222.0,Y,Y,Y,고려대학교의과대학부속병원(안암병원,02-920-5374
서울특별시,도봉구,11,4.0,69.0,Y,Y,Y,한전의료재단한일병원,02-901-3119
서울특별시,노원구,8,3.0,169.0,Y,Y,Y,한국원자력의학원원자력병원,02-970-2620
서울특별시,노원구,9,6.0,186.0,Y,Y,Y,인제대학교상계백병원,02-950-1119
서울특별시,노원구,11,5.0,205.0,Y,Y,Y,노원을지대학교병원,02-970-8282
서울특별시,은평구,-1,7.0,185.0,Y,Y,Y,가톨릭대학교 은평성모병원,02-1811-7755
서울특별시,은평구,6,2.0,20.0,Y,Y,Y,청구성심병원,02-383-0129
서울특별시,서대문구,11,18.0,684.0,Y,Y,Y,연세대학교의과대학세브란스병원,02-2227-7777
서울특별시,서대문구,8,2.0,54.0,Y,Y,Y,동신의료재단동신병원,02-396-9161
서울특별시,양천구,5,0.0,47.0,Y,Y,Y,홍익병원,02-2600-0777
서울특별시,양천구,5,2.0,19.0,Y,Y,Y,서울특별시서남병원,02-6300-9129
서울특별시,양천구,15,2.0,115.0,Y,Y,Y,이화여자대학교의과대학부속목동병원,02-2650-5911
서울특별시,강서구,15,1.0,73.0,Y,Y,Y,이화여자대학교의과대학부속서울병원,02-6986-5119
서울특별시,강서구,9,2.0,36.0,Y,Y,Y,부민병원,02-2620-0119
서울특별시,구로구,6,1.0,24.0,Y,Y,Y,구로성심병원,02-2067-1515
서울특별시,구로구,14,8.0,226.0,Y,Y,Y,고려대학교의과대학부속구로병원,02-2626-1550
서울특별시,금천구,10,3.0,15.0,Y,Y,Y,희명병원,02-809-0122
서울특별시,영등포구,14,7.0,225.0,Y,Y,Y,가톨릭대학교 여의도성모병원,02-3779-1188
서울특별시,영등포구,6,2.0,28.0,Y,Y,Y,명지성모병원,02-829-7800
서울특별시,영등포구,7,2.0,27.0,Y,Y,Y,대림성모병원,02-829-9129
서울특별시,영등포구,20,5.0,134.0,Y,Y,Y,한림대학교강남성심병원,02-829-5119
서울특별시,영등포구,8,2.0,16.0,Y,Y,Y,성애의료재단성애병원,02-840-7115
서울특별시,동작구,21,4.0,302.0,Y,Y,Y,서울특별시보라매병원,02-870-2119
서울특별시,동작구,12,5.0,298.0,Y,Y,Y,중앙대학교병원,02-6299-1338
서울특별시,관악구,16,1.0,33.0,Y,Y,Y,서울효천의료재단에이치플러스양지병원,070-4665-9119
서울특별시,서초구,4,11.0,373.0,Y,Y,Y,가톨릭학원가톨릭대학교서울성모병원,02-2258-2370
서울특별시,강남구,3,0.0,245.0,Y,Y,Y,연세대학교의과대학강남세브란스병원,02-2019-3333
서울특별시,강남구,2,19.0,594.0,Y,Y,Y,삼성서울병원,02-3410-2060
서울특별시,송파구,2,7.0,130.0,Y,Y,Y,경찰병원,02-3400-1300
서울특별시,송파구,3,22.0,1163.0,Y,Y,Y,아산사회복지재단서울아산병원,02-3010-3333
서울특별시,강동구,10,9.0,199.0,Y,Y,Y,강동경희대학교의대병원,02-440-7000
서울특별시,강동구,11,6.0,185.0,Y,Y,Y,성심의료재단강동성심병원,02-2224-2358
서울특별시,강동구,9,8.0,349.0,Y,Y,Y,중앙보훈병원,02-2225-1100
부산광역시,중구,3,1.0,59.0,Y,Y,Y,천주교부산교구유지재단 메리놀병원,051-461-2300
부산광역시,서구,15,3.0,140.0,Y,Y,Y,고신대학교복음병원,051-990-6200
부산광역시,서구,14,26.0,706.0,Y,Y,Y,부산대학교병원,051-240-7776
부산광역시,서구,2,8.0,210.0,Y,Y,Y,동아대학교병원,051-240-5300
부산광역시,서구,4,2.0,1.0,Y,Y,Y,삼육부산병원,051-600-7750
부산광역시,동구,3,4.0,51.0,Y,Y,Y,좋은문화병원,051-630-0909
부산광역시,동구,6,5.0,11.0,Y,Y,Y,정화의료재단 봉생기념병원,051-664-4119
부산광역시,영도구,4,0.0,25.0,Y,Y,Y, 행도의료재단 해동병원,051-410-6688
부산광역시,영도구,7,0.0,38.0,Y,Y,Y,영도병원,051-419-7575
부산광역시,부산진구,17,7.0,54.0,Y,Y,Y, 온그룹의료재단 온종합병원,051-607-0139
