FID,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,Shape__Area,Shape__Length,CTPRVN_CD
1,11110,Jongno-gu,종로구,23971611.82,28383.00799,11
2,11140,Jung-gu,중구,9962768.289,18325.07262,11
3,11170,Yongsan-gu,용산구,21897558.88,20885.80621,11
4,11200,Seongdong-gu,성동구,16800779.57,18858.30258,11
5,11215,Gwangjin-gu,광진구,17018733.05,18499.46269,11
6,11230,Dongdaemun-gu,동대문구,14235452.22,18140.02593,11
7,11260,Jungnang-gu,중랑구,18536459.06,18387.01856,11
8,11290,Seongbuk-gu,성북구,24593233.76,31177.48528,11
9,11305,Gangbuk-gu,강북구,23617621.04,26535.65035,11
10,11320,Dobong-gu,도봉구,20672798.79,24498.51288,11
11,11350,Nowon-gu,노원구,35579394.38,30755.2462,11
12,11380,Eunpyeong-gu,은평구,29772088.29,32455.02113,11
13,11410,Seodaemun-gu,서대문구,17678803.05,22248.54877,11
14,11440,Mapo-gu,마포구,23846405.01,27372.41962,11
15,11470,Yangcheon-gu,양천구,17398830.38,29222.47658,11
16,11500,Gangseo-gu,강서구,41422194.52,42699.31825,11
17,11530,Guro-gu,구로구,20075253.16,34129.47816,11
18,11545,Geumcheon-gu,금천구,13005544.59,20851.34881,11
19,11560,Yeongdeungpo-gu,영등포구,24511521.16,26085.96991,11
20,11590,Dongjak-gu,동작구,16377732,23073.68928,11
21,11620,Gwanak-gu,관악구,29552564.92,27250.29533,11
22,11650,Seocho-gu,서초구,46855979.11,43733.90768,11
23,11680,Gangnam-gu,강남구,39493404.44,34246.38338,11
24,11710,Songpa-gu,송파구,33824825.45,30505.81377,11
25,11740,Gangdong-gu,강동구,24538697.14,23748.89888,11
26,26110,Jung-gu,중구,2842357.073,9278.047631,26
27,26140,Seo-gu,서구,13743230.2,33267.4341,26
28,26170,Dong-gu,동구,9470115.713,18429.50246,26
29,26200,Yeongdo-gu,영도구,14220487.23,34705.40117,26
30,26230,Busanjin-gu,부산진구,29728184.97,28712.54247,26
31,26260,Dongnae-gu,동래구,16659715.63,22322.64852,26
32,26290,Nam-gu,남구,26163271.32,37317.17763,26
33,26320,Buk-gu,북구,39780913.23,32340.27505,26
34,26350,Haeundae-gu,해운대구,51848431.07,44267.95655,26
35,26380,Saha-gu,사하구,41105902.68,77901.06274,26
36,26410,Geumjeong-gu,금정구,65638508.32,41430.25335,26
37,26440,Gangseo-gu,강서구,181553956.4,180152.5022,26
38,26470,Yeonje-gu,연제구,12128642.36,22616.93739,26
39,26500,Suyeong-gu,수영구,10198838.41,18621.9709,26
40,26530,Sasang-gu,사상구,36195646.18,32090.99713,26
41,26710,Gijang-gun,기장군,218869657.4,114201.9298,26
42,27110,Jung-gu,중구,7079507.469,12168.68384,27
43,27140,Dong-gu,동구,181454592.9,67848.38293,27
44,27170,Seo-gu,서구,17314270.25,19556.33712,27
45,27200,Nam-gu,남구,17732005.63,18132.67705,27
46,27230,Buk-gu,북구,94165795.02,51057.46335,27
47,27260,Suseong-gu,수성구,76570254.66,42557.31251,27
48,27290,Dalseo-gu,달서구,62826850.62,44057.03626,27
